1098;Lucio Fontana;Concetto spaziale;1957
1099;Pablo Palazuelo;La grande étude IV;1957-1958
1100;Antoni Tápies;Quatre quadrats grisos sobre fons marró;1959
1101;Antoni Tápies;Pintura ocre;1959
1102;Josep Maria de Sucre;Rostre expressionista amb grisos;1963
1103;Josep Maria de Sucre;Rostre;1963
1095;Anni Albers;Connections;1925-1983
1104;Jaume Xifra;Pochoir Objets;1966
1105;Jaume Xifra;Composició;1966
1106;Zush;Solomo, mesias del siglo XX, ante el deseo de la montaña de madera;1968
1096;Joaquin Torres-Garcia;Planos de color con dos maderas superpuestas;1928
1107;Joan Rabascall;Atomic Kiss;1968
1108;Zush;La confusión del pasado en el Zerebro;1969
1109;Nancy Spero;Artaud Painting – That thick hemp in the neck of the priest about to be hung;1969
1110;Nancy Spero;Artaud Painting – From this pain... ;1969
1111;ASPEN;ASPEN. The Multimedia Magazine in a Box. No. 9. The Psichedelic issue;1971
1112;Nancy Spero;Codex Artaud V;1971
1097;Pere Daura;unk;ca. 1929
1113;Robert Llimós;Espai Ple [ratlles];1971
1114;Zush;Kaenia II;1972
1115;Zush;Gorphino;1973
1116;Ferran Garcia Sevilla;Dieu face à la terre. Sèrie Déus núm. 17;1981
1117;Ferran Garcia Sevilla;Deu aliorum o god wanted. Sèrie Déus núm. 22 ;1981
1118;Ferran Garcia Sevilla;Déu amb el cos de metall i molt de braços o God beside a litte fire. Sèrie Déus núm. 24;1981
1119;Ferran Garcia Sevilla;Der Gott der lichter am himmel o Dio di città. Sèrie Déus núm.34;1981
1120;Ferran Garcia Sevilla;Déu que fa menjar aire. Sèrie Déus núm. 39;1981
1121;Ferran Garcia Sevilla;Dio del dolce fare niente. Sèrie Déus núm. 54;1981
1122;Ferran Garcia Sevilla;Der tote und lebenhige Gott. Dios maníaco. Sèrie Déus núm. 56;1981
1123;Jean-Michel Basquiat;Sterno;1985
1124;Jean-Michel Basquiat;King Zulu;1986
1127;Xavier Basiana, Jaume Orpinell;Catalana de Gas;1997-1998
1128;Xavier Basiana, Jaume Orpinell;Can Batlló;1997-1998
1129;Xavier Basiana, Jaume Orpinell;Bayer, SA;1997-1998
1130;Xavier Basiana, Jaume Orpinell;Myrurgia;1997-1998
1131;Xavier Basiana, Jaume Orpinell;Editorial Montaner i Simón;1997-1998
1132;Xavier Basiana, Jaume Orpinell;Ca l'Aranyó;1997-1998
1133;Xavier Basiana, Jaume Orpinell;Can Felipa - CATEX;1997-1998
1134;Xavier Basiana, Jaume Orpinell;Palo Alto;1997-1998
1135;Xavier Basiana, Jaume Orpinell;Can Ricart;1997-1998
1136;Xavier Basiana, Jaume Orpinell;Fundición Tipográfica Neufville, S.A.;1997-1998
1137;Xavier Basiana, Jaume Orpinell;Cristalerías Planell;1997-1998
1138;Xavier Basiana, Jaume Orpinell;Can Batlló - La Bordeta;1997-1998
1139;David Goldblatt;A logistical warehause in the Zona d'Activitats Logístiques (ZAL). Sèrie: "Connexions globals";2007
1140;David Goldblatt;Roundabout, Zona Franca, Barcelona. Sèrie: "Connexions globals";2007
1141;David Goldblatt;Turkish Truck Drivers Share Their Lunch, Zona d'Activitats Logístiques (ZAL). Sèrie: "Connexions globals";2007
1142;David Goldblatt;Agriculture in the Delta del Llobregat, El Prat del Llobregat. Sèrie: "Connexions globals";2007
1143;David Goldblatt;The Fish Market 06:30 AM, Mercabarna, Zona Franca, Barcelona. Sèrie: "Connexions globals";2007
1144;David Goldblatt;On the C-31, Autovia de Castelldefels, Gavà. Sèrie: "Connexions globals";2007
1145;David Goldblatt;Beginning the Construction of a Bridge for a High-speed Railway linking Barcelona and Madrid. Sèrie: "Connexions globals";2007
1146;David Goldblatt;Construction of a new metro line, Zona Franca, Barcelona. Sèrie: "Connexions globals";2007
1147;David Goldblatt;Watching Planes Come in, el Mirador del Prat, El Prat del Llobregat. Sèrie: "Connexions globals";2008
1148;David Goldblatt;Construction of the New Terminal, Barcelona Airport, El Prat del Llobregat. Sèrie: "Connexions globals";2008
1149;David Goldblatt;The New Control Tower and Falcons Used for Keeping Her Runways Clear of Birds, Barcelona Airport, El Prat del Llobregat. Sèrie: "Connexions globals";2008
1150;David Goldblatt;View from the Harbour Master's New Control Tower in the Port of Barcelona. Sèrie: "Connexions globals";2007
1200;David Goldblatt;The New Control Tower and Its Interior, Barcelona Airport, El Prat del Llobregat. Sèrie: "Connexions globals";2007
1152;David Goldblatt;Warehouse Interior, Zona d'Activitats Logístiques (ZAL). Sèrie: "Connexions globals";2007
1153;David Goldblatt;South Breakwater under Construction, Port of Barcelona. Sèrie: "Connexions globals";2007
1154;David Goldblatt;East breakwater under construction, Port of Barcelona. Sèrie: "Connexions globals";2007
1155;David Goldblatt;Billboards and Empty Ground next to Ronda de Llevant, El Prat de Llobregat. Sèrie: "Connexions globals";2007
1156;David Goldblatt;Passengers from a Cruise Liner in the Port of Barcelona, Queue for Taxis to Take Them into the City. Sèrie: "Connexions globals";2007
1157;David Goldblatt;At the New Mouth of the River Llobregat. Sèrie: "Connexions globals";2007
1158;Carlos Aires;Mar negro;2013
1125;Jo Spence;Beyond the Family Album;1978-1979
1126;Jo Spence, Terry Dennett;Remodelling Photo History;1982
1088;unk;Pop Quiz;1990
1089;unk;Republicans Do Believe in a Woman's Right to Control Her Own Body!;1992
