1, 41, A, G
1, 41, C, M
2, 41, A, G
2, 41, C, M
3, 41, A, G
3, 41, C, M
4, 41, A, G
4, 41, C, M
5, 41, A, G
5, 41, C, M
6, 41, A, G
6, 41, C, M
7, 41, A, G
7, 41, C, M
8, 41, A, G
8, 41, C, M
9, 41, A, G
9, 41, C, M
10, 41, A, G
10, 41, C, M
11, 41, A, G
11, 41, C, M
12, 41, A, G
12, 41, C, M
13, 41, A, G
13, 41, C, M
14, 41, A, G
14, 41, C, M
15, 41, A, G
15, 41, C, M
16, 41, A, G
16, 41, C, M
17, 41, A, G
17, 41, C, M
18, 41, A, G
18, 41, C, M
19, 41, A, G
19, 41, C, M
20, 41, A, G
20, 41, C, M
21, 41, A, G
21, 41, C, M
22, 41, A, G
22, 41, C, M
1, 42, A, G
1, 42, C, M
2, 42, A, G
2, 42, C, M
3, 42, A, G
3, 42, C, M
4, 42, A, G
4, 42, C, M
5, 42, A, G
5, 42, C, M
6, 42, A, G
6, 42, C, M
7, 42, A, G
7, 42, C, M
8, 42, A, G
8, 42, C, M
9, 42, A, G
9, 42, C, M
10, 42, A, G
10, 42, C, M
11, 42, A, G
11, 42, C, M
12, 42, A, G
12, 42, C, M
13, 42, A, G
13, 42, C, M
14, 42, A, G
14, 42, C, M
15, 42, A, G
15, 42, C, M
16, 42, A, G
16, 42, C, M
17, 42, A, G
17, 42, C, M
18, 42, A, G
18, 42, C, M
19, 42, A, G
19, 42, C, M
20, 42, A, G
20, 42, C, M
21, 42, A, G
21, 42, C, M
22, 42, A, G
22, 42, C, M
23, 42, A, G
23, 42, C, M
24, 42, A, G
24, 42, C, M
25, 42, A, G
25, 42, C, M
26, 42, A, G
26, 42, C, M
27, 42, A, G
27, 42, C, M
28, 42, A, G
28, 42, C, M
29, 42, A, G
29, 42, C, M
30, 42, A, G
30, 42, C, M
1, 43, A, G
1, 43, C, M
2, 43, A, G
2, 43, C, M
3, 43, A, G
3, 43, C, M
4, 43, A, G
4, 43, C, M
5, 43, A, G
5, 43, C, M
6, 43, A, G
6, 43, C, M
7, 43, A, G
7, 43, C, M
8, 43, A, G
8, 43, C, M
9, 43, A, G
9, 43, C, M
10, 43, A, G
10, 43, C, M
11, 43, A, G
11, 43, C, M
12, 43, A, G
12, 43, C, M
13, 43, A, G
13, 43, C, M
14, 43, A, G
14, 43, C, M
15, 43, A, G
15, 43, C, M
16, 43, A, G
16, 43, C, M
17, 43, A, G
17, 43, C, M
18, 43, A, G
18, 43, C, M
19, 43, A, G
19, 43, C, M
20, 43, A, G
20, 43, C, M
21, 43, A, G
21, 43, C, M
22, 43, A, G
22, 43, C, M
23, 43, A, G
23, 43, C, M
24, 43, A, G
24, 43, C, M
25, 43, A, G
25, 43, C, M
26, 43, A, G
26, 43, C, M
27, 43, A, G
27, 43, C, M
28, 43, A, G
28, 43, C, M
29, 43, A, G
29, 43, C, M
30, 43, A, G
30, 43, C, M
31, 43, A, G
31, 43, C, M
32, 43, A, G
32, 43, C, M
33, 43, A, G
33, 43, C, M
34, 43, A, G
34, 43, C, M
1, 44, A, G
1, 44, C, M
2, 44, A, G
2, 44, C, M
3, 44, A, G
3, 44, C, M
4, 44, A, G
4, 44, C, M
5, 44, A, G
5, 44, C, M
6, 44, A, G
6, 44, C, M
7, 44, A, G
7, 44, C, M
8, 44, A, G
8, 44, C, M
9, 44, A, G
9, 44, C, M
10, 44, A, G
10, 44, C, M
11, 44, A, G
11, 44, C, M
12, 44, A, G
12, 44, C, M
13, 44, A, G
13, 44, C, M
14, 44, A, G
14, 44, C, M
15, 44, A, G
15, 44, C, M
16, 44, A, G
16, 44, C, M
17, 44, A, G
17, 44, C, M
18, 44, A, G
18, 44, C, M
19, 44, A, G
19, 44, C, M
20, 44, A, G
20, 44, C, M
21, 44, A, G
21, 44, C, M
22, 44, A, G
22, 44, C, M
23, 44, A, G
23, 44, C, M
24, 44, A, G
24, 44, C, M
25, 44, A, G
25, 44, C, M
26, 44, A, G
26, 44, C, M
27, 44, A, G
27, 44, C, M
28, 44, A, G
28, 44, C, M
29, 44, A, G
29, 44, C, M
30, 44, A, G
30, 44, C, M
31, 44, A, G
31, 44, C, M
32, 44, A, G
32, 44, C, M
33, 44, A, G
33, 44, C, M
34, 44, A, G
34, 44, C, M
35, 44, A, G
35, 44, C, M
36, 44, A, G
36, 44, C, M
37, 44, A, G
37, 44, C, M
38, 44, A, G
38, 44, C, M
39, 44, A, G
39, 44, C, M
40, 44, A, G
40, 44, C, M
41, 44, A, G
41, 44, C, M
